1	N	48
1	J	48
0	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
4	J	382
4	R	382
4	W	382
0	R	382
4	J	429
4	R	429
4	W	429
0	R	429
4	J	435
4	R	435
4	W	435
0	R	435
4	J	482
4	R	482
4	W	482
0	R	483
4	J	501
4	R	501
4	W	501
0	R	501
4	J	541
4	R	541
4	W	541
0	R	541
4	J	563
4	R	563
4	W	563
0	R	563
4	J	616
4	R	616
4	W	616
0	R	617
4	J	693
4	R	693
4	W	693
0	R	693
4	J	723
4	R	723
4	W	723
0	R	723
4	J	761
4	R	761
4	W	762
0	R	762
4	J	790
4	R	790
4	W	790
0	R	791
4	J	835
4	R	835
4	W	835
0	R	835
4	J	863
4	R	863
4	W	863
0	R	863
4	J	902
4	R	902
4	W	902
0	R	902
4	J	931
4	R	931
4	W	931
0	R	931
4	J	978
4	R	978
4	W	978
0	R	978
4	J	998
4	R	998
4	W	998
0	R	999
4	J	1113
4	R	1113
4	W	1113
0	R	1113
4	J	1168
4	R	1168
4	W	1168
0	R	1168
4	J	1172
4	R	1172
4	W	1172
0	R	1172
4	J	1205
4	R	1205
4	W	1205
0	R	1205
4	J	1207
4	R	1207
4	W	1207
0	R	1207
4	J	1244
4	R	1244
4	W	1244
0	R	1244
4	J	1267
4	R	1267
4	W	1267
0	R	1267
4	J	1317
4	R	1317
4	W	1317
0	R	1317
4	J	1357
4	R	1357
4	W	1357
0	R	1357
4	J	1391
4	R	1391
4	W	1391
0	R	1391
4	J	1437
4	R	1437
4	W	1437
0	R	1437
4	J	1465
4	R	1465
4	W	1465
0	R	1465
4	J	1501
4	R	1501
4	W	1501
0	R	1501
4	J	1537
4	R	1537
4	W	1537
0	R	1537
4	J	1585
4	R	1585
6	N	1587
6	J	1587
4	W	1587
6	R	1587
7	N	1589
7	J	1589
8	N	1590
8	J	1590
9	N	1590
9	J	1591
10	N	1591
10	J	1591
11	N	1592
11	J	1592
12	N	1592
12	J	1593
13	N	1593
13	J	1593
14	N	1594
14	J	1594
15	N	1594
15	J	1595
16	N	1595
16	J	1595
6	W	1597
16	R	1597
16	J	1612
15	R	1612
15	J	1627
14	R	1627
14	J	1642
13	R	1642
13	J	1657
12	R	1657
12	J	1672
11	R	1672
11	J	1687
10	R	1687
10	J	1702
9	R	1702
9	J	1717
8	R	1717
8	J	1732
7	R	1732
7	J	1747
16	R	1747
16	J	1754
15	R	1754
15	J	1761
14	R	1761
14	J	1768
13	R	1768
13	J	1775
12	R	1775
12	J	1782
11	R	1782
11	J	1789
10	R	1789
10	J	1796
9	R	1796
9	J	1803
8	R	1803
8	J	1810
7	R	1810
7	J	1817
16	R	1817
16	J	1824
15	R	1824
15	J	1831
14	R	1831
14	J	1838
13	R	1838
13	J	1845
12	R	1845
12	J	1852
11	R	1852
11	J	1859
10	R	1859
10	J	1866
9	R	1866
9	J	1873
8	R	1873
8	J	1880
7	R	1880
7	J	1887
16	R	1887
16	J	1894
15	R	1894
15	J	1901
14	R	1901
14	J	1908
13	R	1908
13	J	1915
12	R	1915
12	J	1922
11	R	1922
11	J	1929
10	R	1929
10	J	1936
9	R	1936
9	J	1943
8	R	1943
8	J	1950
7	R	1950
7	J	1957
16	R	1957
16	J	1964
15	R	1964
15	J	1971
14	R	1971
14	J	1978
13	R	1978
13	J	1985
12	R	1985
12	J	1992
11	R	1992
11	J	1999
10	R	1999
10	J	2006
9	R	2006
9	J	2013
8	R	2013
8	J	2020
7	R	2020
7	J	2027
16	R	2027
16	J	2034
